主類別,子類別,二級類別,同異類別,臺灣語詞,大陸語詞
日常生活,飲食,小吃＆點心,同實異名,口香糖,口香糖/口胶/香口胶
日常生活,飲食,小吃＆點心,同實異名,牛奶糖,牛奶糖/奶糖
日常生活,飲食,小吃＆點心,同實異名,奶酪/芝士/乳酪/起士/起司,奶酪/芝士/乳酪/起士/起司/吉士
日常生活,飲食,小吃＆點心,同實異名,米香/米香餅,米香/米香饼/米通
日常生活,飲食,小吃＆點心,同實異名,豆花/豆腐腦,豆花/豆腐脑/豆腐花
日常生活,飲食,小吃＆點心,同實異名,貝果,贝果/百吉饼
日常生活,飲食,小吃＆點心,同實異名,梳打餅/蘇打餅/蘇打餅乾,梳打饼/苏打饼/苏打饼干/克力架
日常生活,飲食,小吃＆點心,同實異名,茶葉蛋,茶叶蛋/茶鸡蛋
日常生活,飲食,小吃＆點心,同實異名,零食/零嘴/零嘴兒,零食/零嘴/零嘴儿/零吃
日常生活,飲食,小吃＆點心,同實異名,慕絲/慕斯,慕丝/摩丝
日常生活,飲食,小吃＆點心,同實異名,優格,酸奶酪
日常生活,飲食,小吃＆點心,同實異名,優酪乳,优酪乳/酸奶/酸牛奶/酸凝酪
日常生活,飲食,小吃＆點心,同實異名,薯片/洋芋片,薯片/土豆片
日常生活,飲食,小吃＆點心,同實異名,鬆餅,松饼/窝夫/华夫饼/格子饼/压花蛋饼
日常生活,飲食,小吃＆點心,同實異名,冰品,冰品/冷食
日常生活,飲食,小吃＆點心,同實異名,冰淇淋,冰淇淋/冰激凌
日常生活,飲食,小吃＆點心,臺灣特有,黑輪,
日常生活,飲食,小吃＆點心,臺灣特有,霜淇淋,
日常生活,飲食,小吃＆點心,大陸特有,,曲奇
日常生活,飲食,小吃＆點心,大陸特有,,麻团
日常生活,飲食,小吃＆點心,大陸特有,,糖食
日常生活,飲食,小吃＆點心,大陸特有,,饹馇
日常生活,飲食,佐料,同實異名,人造奶油,人造奶油/珠酯/人造黄油
日常生活,飲食,佐料,同實異名,低鈉鹽,低钠盐/代用盐
日常生活,飲食,佐料,同實異名,沙拉油,色拉油
日常生活,飲食,佐料,同實異名,咖哩,咖喱
日常生活,飲食,佐料,同實異名,雞粉/雞精粉,鸡粉/鸡精粉/鸡精
日常生活,飲食,佐料,臺灣特有,太白粉,
日常生活,飲食,佐料,大陸特有,,水生粉/水淀粉
日常生活,飲食,佐料,大陸特有,,生粉
日常生活,飲食,佐料,大陸特有,,糖稀
日常生活,飲食,佐料,大陸特有,,辅料
日常生活,飲食,食材,同實異名,土雞蛋,土鸡蛋/笨鸡蛋
日常生活,飲食,食材,同實異名,五花肉/三層肉,五花肉
